0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:15 +0800] "POST /dictParamAction!dictGetComboboxName.action HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:15 +0800] "GET /saleAction!toSaleMainAdd.action HTTP/1.1" 200 27404
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:16 +0800] "POST /customerAction!combox.action HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:16 +0800] "POST /accounterAction!combox.action HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:16 +0800] "POST /saleAction!saleStockCombox.action HTTP/1.1" 200 2762
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:34 +0800] "POST /saleAction!addMain.action HTTP/1.1" 200 51
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:37 +0800] "POST /saleAction!datagrid.action HTTP/1.1" 200 4702
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:37 +0800] "POST /dictParamAction!dictGetComboboxName.action HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:37 +0800] "POST /dictParamAction!dictGetComboboxName.action HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:37 +0800] "POST /dictParamAction!dictGetComboboxName.action HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:37 +0800] "POST /dictParamAction!dictGetComboboxName.action HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:58:37 +0800] "POST /dictParamAction!dictGetComboboxName.action HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:59:18 +0800] "GET /saleBackAction!goSaleBack.action HTTP/1.1" 200 17561
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:59:19 +0800] "POST /customerAction!combox.action HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:59:19 +0800] "POST /accounterAction!combox.action HTTP/1.1" 200 599
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:59:19 +0800] "POST /userAction!combox.action HTTP/1.1" 200 845
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:59:20 +0800] "POST /saleBackAction!datagrid.action HTTP/1.1" 200 979
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:59:20 +0800] "POST /dictParamAction!dictGetComboboxName.action HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:59:20 +0800] "POST /saleAction!datagrid.action HTTP/1.1" 200 2828
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:59:20 +0800] "POST /dictParamAction!dictGetComboboxName.action HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:59:20 +0800] "POST /dictParamAction!dictGetComboboxName.action HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:59:21 +0800] "POST /dictParamAction!dictGetComboboxName.action HTTP/1.1" 200 155
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:59:24 +0800] "GET /customerPriceAction!goCustomerPrice.action HTTP/1.1" 200 17759
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:59:24 +0800] "POST /customerAction!combox.action HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:59:24 +0800] "POST /articleAction!getArticleForStockIn.action HTTP/1.1" 200 18416
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:59:24 +0800] "POST /customerAction!combox.action HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:59:24 +0800] "POST /articleAction!getArticleForStockIn.action HTTP/1.1" 200 18416
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:59:24 +0800] "POST /articleAction!getArticleForStockIn.action HTTP/1.1" 200 18416
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:59:24 +0800] "POST /customerAction!combox.action HTTP/1.1" 200 793
0:0:0:0:0:0:0:1 - - [28/Mar/2018:16:59:26 +0800] "POST /customerPriceAction!datagrid.action HTTP/1.1" 200 3435
